Date,Close,Open,High,Low,Volume,변동 %
2025-09-21,"115,409.90","115,699.20","115,833.20","115,351.50",20.33K,-0.25%
2025-09-20,"115,699.20","115,649.00","116,138.40","115,424.90",20.42K,0.04%
2025-09-19,"115,649.00","117,089.20","117,470.70","115,133.50",36.98K,-1.23%
2025-09-18,"117,086.00","116,426.50","117,910.40","116,144.90",46.50K,0.57%
2025-09-17,"116,425.90","116,795.90","117,284.20","114,782.50",56.85K,-0.32%
2025-09-16,"116,795.90","115,362.10","116,970.00","114,801.00",43.05K,1.24%
2025-09-15,"115,362.10","115,314.20","116,723.20","114,412.20",48.68K,0.04%
2025-09-14,"115,314.60","115,924.80","116,165.60","115,158.30",25.84K,-0.53%
2025-09-13,"115,924.90","116,042.60","116,292.40","115,207.30",30.79K,-0.10%
2025-09-12,"116,042.80","115,490.50","116,684.30","114,766.10",56.48K,0.48%
2025-09-11,"115,490.20","113,963.50","115,490.60","113,446.60",47.81K,1.34%
2025-09-10,"113,963.50","111,517.10","114,300.70","110,938.80",62.24K,2.19%
2025-09-09,"111,516.50","112,066.30","113,259.90","110,781.10",53.76K,-0.49%
2025-09-08,"112,068.40","111,140.90","112,896.90","110,630.50",41.95K,0.83%
2025-09-07,"111,150.10","110,194.40","111,594.10","110,185.60",23.81K,0.87%
2025-09-06,"110,194.40","110,660.10","111,313.40","110,010.50",21.14K,-0.41%
2025-09-05,"110,652.20","110,727.90","113,315.60","110,234.60",63.56K,-0.05%
2025-09-04,"110,712.70","111,716.50","112,189.10","109,344.80",43.30K,-0.90%
2025-09-03,"111,716.50","111,227.90","112,568.10","110,547.90",43.05K,0.45%
2025-09-02,"111,218.30","109,241.60","111,714.60","108,425.30",60.02K,1.81%
2025-09-01,"109,243.30","108,247.30","109,898.50","107,274.70",53.13K,0.94%
2025-08-31,"108,226.80","108,818.10","109,484.20","108,092.60",33.80K,-0.54%
2025-08-30,"108,818.10","108,367.70","108,925.30","107,433.40",41.99K,0.43%
2025-08-29,"108,355.60","112,568.90","112,617.30","107,538.70",69.98K,-3.74%
2025-08-28,"112,568.90","111,263.20","113,464.60","110,887.70",41.38K,1.18%
2025-08-27,"111,255.60","111,768.60","112,611.30","110,409.90",44.41K,-0.46%
2025-08-26,"111,768.60","110,118.40","112,377.00","108,768.30",62.08K,1.50%
2025-08-25,"110,118.40","113,486.60","113,665.10","109,295.10",76.94K,-2.97%
2025-08-24,"113,483.20","115,431.50","115,663.30","110,815.90",64.88K,-1.69%
2025-08-23,"115,433.30","116,928.90","117,024.30","114,576.50",39.63K,-1.28%
2025-08-22,"116,928.90","112,492.90","117,416.90","111,698.50",72.83K,3.95%
2025-08-21,"112,481.10","114,275.00","114,776.30","112,023.00",43.00K,-1.57%
2025-08-20,"114,275.00","112,878.10","114,616.70","112,409.40",54.63K,1.24%
2025-08-19,"112,880.30","116,218.90","116,729.20","112,750.90",62.15K,-2.86%
2025-08-18,"116,203.80","117,417.90","117,552.70","114,653.80",58.82K,-1.02%
2025-08-17,"117,405.40","117,393.80","118,559.40","117,192.40",21.87K,-0.01%
2025-08-16,"117,413.40","117,356.30","117,914.90","117,195.60",25.18K,0.05%
2025-08-15,"117,356.30","118,314.10","119,231.90","116,816.80",45.23K,-0.81%
2025-08-14,"118,314.20","123,313.60","124,436.80","117,275.10",86.59K,-4.06%
2025-08-13,"123,323.40","120,138.40","123,651.80","118,959.90",76.09K,2.64%
2025-08-12,"120,146.20","118,689.60","120,317.20","118,217.40",56.86K,1.23%
